,country,stability,rights,health,safety,costs
0,Australia,86,92,87,100,23
1,Hong Kong,77,85,100,97,61
2,San Marino,81,82,91,87,61
3,Macao,90,71,100,93,61
4,Switzerland,91,99,93,99,44
5,Malta,86,72,91,92,41
6,Bermuda,89,78,96,93,34
7,Luxembourg,93,99,85,100,46
8,Singapore,83,89,79,100,55
9,Spain,64,73,87,95,43
10,Japan,87,86,92,97,27
11,Portugal,80,77,82,93,44
12,South Korea,81,75,92,95,42
13,Germany,82,94,96,95,44
14,Austria,83,91,97,98,37
15,Norway,89,99,90,99,42
16,Cyprus,67,68,77,93,53
17,New Zealand,91,100,81,95,26
18,Sweden,87,99,85,96,40
19,France,72,83,91,93,29
20,Finland,85,100,87,93,46
21,Canada,85,92,78,97,37
22,United States,63,81,71,85,37
23,Netherlands,84,98,83,96,40
24,Denmark,86,100,85,95,35
25,Uruguay,67,79,75,82,47
26,United Arab Emirates,82,65,65,93,67
27,Slovenia,80,73,83,96,57
28,Qatar,77,60,62,94,70
29,Croatia,67,58,80,91,67
30,Greece,60,61,89,88,44
31,Israel,57,72,84,81,36
32,Czechia,78,73,90,93,49
33,Italy,65,65,87,89,30
34,Iceland,82,92,87,97,36
35,Chile,66,79,68,87,54
36,Belgium,75,87,88,92,32
37,Poland,69,67,79,93,58
38,Estonia,80,89,81,92,43
39,Hungary,70,57,81,88,56
40,Ireland,84,90,82,96,35
41,Bulgaria,68,51,81,85,62
42,United Kingdom,76,91,78,95,34
43,Latvia,74,74,77,87,55
44,Slovakia,73,67,77,89,42
45,Lithuania,77,75,82,88,43
46,Bahrain,59,45,61,92,72
47,Oman,68,51,64,92,68
48,North Macedonia,56,48,70,87,64
49,Romania,64,57,73,88,68
50,Saudi Arabia,53,45,61,90,76
51,Malaysia,70,58,61,91,46
52,China,69,37,67,90,38
53,Costa Rica,69,69,64,73,46
54,Georgia,46,63,67,88,58
55,Maldives,64,39,72,87,59
56,Samoa,76,63,50,83,58
57,Kuwait,66,47,66,88,74
58,Paraguay,57,37,51,76,66
59,Montenegro,50,52,68,85,61
60,Thailand,61,40,65,96,55
61,Argentina,41,44,79,78,41
62,Morocco,56,40,53,87,45
63,Peru,55,46,54,84,50
64,Tunisia,38,49,60,82,47
65,Sri Lanka,52,43,62,92,56
66,Albania,58,43,64,84,57
67,Ecuador,61,36,60,88,61
68,Mongolia,59,44,60,72,70
69,Bosnia and Herzegovina,47,38,69,86,70
70,Armenia,36,51,70,93,57
71,Jordan,50,48,60,77,63
72,Turkey,31,38,64,87,59
73,Serbia,54,44,71,87,57
74,Senegal,64,47,33,91,56
75,South Africa,47,54,31,43,49
76,Rwanda,68,48,27,72,58
77,Algeria,35,24,61,97,55
78,Kazakhstan,54,36,69,82,60
79,Vietnam,67,35,54,76,51
80,Indonesia,61,44,39,98,54
81,Bolivia,57,28,45,68,51
82,Moldova,51,41,67,84,62
83,Trinidad and Tobago,68,50,61,39,48
84,Timor-Leste,65,37,42,42,67
85,India,48,46,35,79,45
86,Mexico,46,37,54,52,34
87,Ukraine,42,36,71,82,60
88,Dominican Republic,50,41,52,67,49
89,Jamaica,55,52,51,37,47
90,Madagascar,49,28,22,86,66
91,Russia,47,26,74,75,62
92,Brazil,37,45,63,60,44
93,Tanzania,51,34,21,57,56
94,Ghana,48,51,26,95,42
95,Egypt,36,26,44,83,59
96,Nepal,53,35,34,89,57
97,Malawi,42,38,20,78,50
98,Suriname,44,43,50,73,62
99,Kenya,41,33,25,72,45
100,Laos,68,19,30,76,73
101,Pakistan,24,26,31,92,63
102,Philippines,52,39,45,67,46
103,Colombia,47,46,62,30,46
104,Gambia,47,38,21,79,58
105,Azerbaijan,46,24,70,38,64
106,Honduras,46,26,46,43,57
107,Guatemala,52,28,44,71,45
108,Kyrgyzstan,36,27,57,58,71
109,Bangladesh,43,26,44,74,61
110,Lebanon,10,25,65,76,41
111,El Salvador,59,39,49,21,50
112,Belarus,37,28,82,81,40
113,Cambodia,56,19,28,68,66
114,Uganda,48,30,14,62,57
115,Zambia,34,32,18,60,58
116,Lesotho,36,40,12,24,57
117,Gabon,48,25,32,52,46
118,Burma,31,24,32,63,73
119,Nicaragua,45,18,45,73,41
120,Togo,49,29,12,75,54
121,Tajikistan,51,13,53,58,51
122,Iran,19,15,60,79,43
123,Ivory Coast,47,36,11,58,57
124,Ethiopia,27,31,16,31,63
125,Burundi,31,11,9,62,66
126,Sierra Leone,38,34,6,69,64
127,Zimbabwe,29,14,13,74,37
128,Angola,27,24,10,55,53
129,Afghanistan,28,9,20,19,63
130,Mozambique,36,26,10,4,53
131,Iraq,16,12,42,29,75
132,Cameroon,40,19,9,27,51
133,Nigeria,18,24,12,23,57
134,Chad,46,12,0,31,49
135,Sudan,8,11,18,55,66
136,Congo (Dem. Republic),32,7,6,10,60
