,age_group,count
0,FEMALE_TOTAL,4.734925516055046
1,FEMALE_Y15T24,4.177584269662921
2,FEMALE_Y25T34,4.538539325842696
3,FEMALE_Y35T44,5.296781609195403
4,FEMALE_Y45T54,6.599717514124294
5,FEMALE_Y55T64,8.263965517241378
6,FEMALE_Y65T74,10.498238636363636
7,FEMALE_Y75T84,14.232356321839077
8,FEMALE_Y_GE85,27.417527472527475
9,MALE_TOTAL,15.509772419724772
10,MALE_Y15T24,11.51738888888889
11,MALE_Y25T34,17.290333333333333
12,MALE_Y35T44,21.068555555555555
13,MALE_Y45T54,25.25172222222222
14,MALE_Y55T64,29.145730337078653
15,MALE_Y65T74,35.34814606741573
16,MALE_Y75T84,49.50100558659218
17,MALE_Y_GE85,125.00977528089886
18,TOTAL_TOTAL,10.069069609644087
19,TOTAL_Y15T24,7.876187845303867
20,TOTAL_Y25T34,10.998100558659218
21,TOTAL_Y35T44,13.087500000000002
22,TOTAL_Y45T54,15.780782122905029
23,TOTAL_Y55T64,17.741666666666667
24,TOTAL_Y65T74,21.454044943820225
25,TOTAL_Y75T84,27.93011111111111
26,TOTAL_Y_GE85,60.64765363128492
